id;peer;recommendedpeer
2932;kuybjwjfis;rwxzzteebk
2933;znyvghyntp;yculbhvhbj
2934;tlbcmzdabu;joankrslxd
2935;htohugrrca;llxfrdpypf
2936;pixezdjntq;llxfrdpypf
2937;likrungvnz;llxfrdpypf
2938;acramfvnyr;vouhgaosna
2939;xdwstnamjh;joankrslxd
2940;agzyvxdegj;yobofyylei
2941;rzrjiltlbf;llxfrdpypf
2942;blnxaiopmi;sdgkxkjwmk
1;nxuabdvfyx;rwxzzteebk
2;kepmecriek;yobofyylei
3;bhqdgqyyxu;yobofyylei
4;aeifiascll;sdgkxkjwmk
5;paazcezzxx;sdgkxkjwmk
6;yqzxbhyonq;llxfrdpypf
7;tzekcjdsha;rwxzzteebk
8;jodbxqwuyh;vouhgaosna
9;zkqeskytco;llxfrdpypf
10;oocftvtxsc;gflglwhwjn
11;ewfoxvinfe;rwxzzteebk
12;nzuacqtmcn;llxfrdpypf
13;racsglohvu;yobofyylei
14;csxytfzrzx;rwxzzteebk
15;oghmdldpwl;rwxzzteebk
16;obdzppoyio;uyaqyslbhk
17;yfyjizeyot;llxfrdpypf
18;kuwaqbfaxm;noxbxkjtsx
19;fltshstost;iodskxuoka
20;yzqnfaiktg;llxfrdpypf
21;ttdfmpmozf;yculbhvhbj
22;qsfveyktfx;rwxzzteebk
23;xqmdspmypk;uyaqyslbhk
24;uijpzqgswc;rwxzzteebk
25;wkdiomguzb;rwxzzteebk
26;jblyoumwgv;rwxzzteebk
27;aydxppjshp;iodskxuoka
28;gzpsfqikbl;joankrslxd
29;aexbpuxtfo;yobofyylei
30;inhmqojpds;rwxzzteebk
31;dfixbcwrdg;noxbxkjtsx
32;rupnxidouq;yculbhvhbj
4929;jfnxuscdte;llxfrdpypf
4930;cuctjaeext;joankrslxd
4931;fruuugskwh;yobofyylei
4932;kojxikvtqu;sdgkxkjwmk
4933;rjwakwulen;joankrslxd
4934;tuwmaxsavw;uyaqyslbhk
4935;eifmddgymn;uyaqyslbhk
4936;tpkprpykjq;llxfrdpypf
4937;pnvrurjcmb;llxfrdpypf
4938;glrgmhchlw;llxfrdpypf
4939;fkvjtywduk;rwxzzteebk
4940;tvoqebotvr;yobofyylei
4941;tjvxynkmqi;rwxzzteebk
4942;obuytaocia;joankrslxd
4943;cszotdlnmc;joankrslxd
4944;ofbthyaklx;rwxzzteebk
4945;uxychsnhxz;uyaqyslbhk
4946;jagbppurbj;vouhgaosna
4947;szorhgzloi;joankrslxd
4948;ucfmrckknb;iodskxuoka
4949;hjfkidkqyx;llxfrdpypf
4950;jkixwhrgju;joankrslxd
4951;bibgrxpqwh;llxfrdpypf
4952;yxvzjfwkxi;iodskxuoka
4953;mtwtzdjaft;rwxzzteebk
4954;hriyjbqpzo;uyaqyslbhk
4955;crnwlpvvok;llxfrdpypf
4956;ijejjlolsv;rwxzzteebk
4957;jpduucushd;llxfrdpypf
